,,Released Heg start,Released Heg start,,Other sites containing heg,
,,x,y,av_d,x,y
8,222135,296.304,1028.41,600.727,784,615
8,222135,296.304,1028.41,600.727,642,585
9,246733,296.304,1028.41,579.264,1225,183
9,246733,296.304,1028.41,579.264,784,615
9,246733,296.304,1028.41,579.264,950,912
9,246733,296.304,1028.41,579.264,642,585
9,246733,296.304,1028.41,579.264,514,823
9,246733,296.304,1028.41,579.264,585,696
10,272559,296.304,1028.41,750.398,1020,671
10,272559,296.304,1028.41,750.398,1011,786
10,272559,296.304,1028.41,750.398,1292,217
10,272559,296.304,1028.41,750.398,1102,210
10,272559,296.304,1028.41,750.398,1225,183
10,272559,296.304,1028.41,750.398,1458,210
10,272559,296.304,1028.41,750.398,1170,224
10,272559,296.304,1028.41,750.398,1467,143
10,272559,296.304,1028.41,750.398,1475,153
10,272559,296.304,1028.41,750.398,784,615
10,272559,296.304,1028.41,750.398,917,610
10,272559,296.304,1028.41,750.398,950,912
10,272559,296.304,1028.41,750.398,642,585
10,272559,296.304,1028.41,750.398,514,823
10,272559,296.304,1028.41,750.398,585,696
10,272559,296.304,1028.41,750.398,966,626
10,272559,296.304,1028.41,750.398,576,373
10,272559,296.304,1028.41,750.398,672,467
11,297982,296.304,1028.41,739.9,1368,553
11,297982,296.304,1028.41,739.9,1020,671
11,297982,296.304,1028.41,739.9,1410,622
11,297982,296.304,1028.41,739.9,1289,655
11,297982,296.304,1028.41,739.9,1011,786
11,297982,296.304,1028.41,739.9,1292,217
11,297982,296.304,1028.41,739.9,1440,498
11,297982,296.304,1028.41,739.9,1102,210
11,297982,296.304,1028.41,739.9,1357,64
11,297982,296.304,1028.41,739.9,1225,183
11,297982,296.304,1028.41,739.9,1458,210
11,297982,296.304,1028.41,739.9,1170,224
11,297982,296.304,1028.41,739.9,1467,143
11,297982,296.304,1028.41,739.9,1475,153
11,297982,296.304,1028.41,739.9,1434,109
11,297982,296.304,1028.41,739.9,1432,382
11,297982,296.304,1028.41,739.9,1390,89
11,297982,296.304,1028.41,739.9,784,615
11,297982,296.304,1028.41,739.9,917,610
11,297982,296.304,1028.41,739.9,950,912
11,297982,296.304,1028.41,739.9,642,585
11,297982,296.304,1028.41,739.9,643,752
11,297982,296.304,1028.41,739.9,597,562
11,297982,296.304,1028.41,739.9,915,501
11,297982,296.304,1028.41,739.9,514,823
11,297982,296.304,1028.41,739.9,585,696
11,297982,296.304,1028.41,739.9,966,626
11,297982,296.304,1028.41,739.9,810,550
11,297982,296.304,1028.41,739.9,576,373
11,297982,296.304,1028.41,739.9,761,477
11,297982,296.304,1028.41,739.9,672,467
12,325302,296.304,1028.41,742.046,1182,562
12,325302,296.304,1028.41,742.046,1020,671
12,325302,296.304,1028.41,742.046,1250,509
12,325302,296.304,1028.41,742.046,1410,622
12,325302,296.304,1028.41,742.046,1289,655
12,325302,296.304,1028.41,742.046,1011,786
12,325302,296.304,1028.41,742.046,1292,217
12,325302,296.304,1028.41,742.046,1440,498
12,325302,296.304,1028.41,742.046,1102,210
12,325302,296.304,1028.41,742.046,1357,64
12,325302,296.304,1028.41,742.046,1225,183
12,325302,296.304,1028.41,742.046,1324,159
